,Year,Season,Site,Depth,Transect..,Meter.Mark,Coral,Algae,Algae.Functional.Group,CoralAlgae,Maximum.colony.diameter,Length.of.edge.in.contact,Outcome,Proportion of colony in contact
93,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
94,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
95,2015,Spring,Harry's Bommie 5m,5,1,7.3,Acropora,filamentous,filamentous,Acrfila,0.45,0.06,0,0.133333333
96,2015,Spring,Harry's Bommie 5m,5,1,7.3,Acropora,filamentous,filamentous,Acrfila,0.45,0.06,0,0.133333333
97,2015,Spring,Harry's Bommie 5m,5,1,9.3,Favia,filamentous,filamentous,Favafila,0.52,0.3,0,0.576923077
98,2015,Spring,Harry's Bommie 5m,5,1,11,Galaxea,Chlorodesmis fastigiata,corticated foliose algae,GalCfas,0.22,0.04,0,0.181818182
102,2015,Spring,Harry's Bommie 5m,5,2,3.9,Platygyra,filamentous,filamentous,Plafila,0.6,0.08,0,0.133333333
103,2015,Spring,Harry's Bommie 5m,5,2,3.9,Platygyra,filamentous,filamentous,Plafila,0.6,0.08,0,0.133333333
104,2015,Spring,Harry's Bommie 5m,5,2,3.9,Platygyra,filamentous,filamentous,Plafila,0.6,0.08,0,0.133333333
105,2015,Spring,Harry's Bommie 5m,5,2,4,Acanthastrea,CCA,crustose,AcaCCA,0.13,0.04,1,0.307692308
106,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
107,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
108,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
109,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
110,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
111,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
112,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
113,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
114,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
115,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
116,2015,Spring,Harry's Bommie 5m,5,2,4.6,Acropora,filamentous,filamentous,Acrfila,0.75,0.04,0,0.053333333
